predicate,object
http://schema.org/mainEntityOfPage,https://arc.wikipedia.org/wiki/%DC%92%DC%A0%DC%93%DC%9D%DC%A9%DC%90
http://schema.org/mainEntityOfPage,https://ary.wikipedia.org/wiki/%D8%A8%D9%84%D8%AC%D9%8A%D9%83%D8%A7
http://schema.org/mainEntityOfPage,https://arz.wikipedia.org/wiki/%D8%A8%D9%84%D8%AC%D9%8A%D9%83%D8%A7
http://schema.org/mainEntityOfPage,https://ast.wikipedia.org/wiki/B%C3%A9lxica
http://schema.org/mainEntityOfPage,https://av.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%B5%D0%BD
http://schema.org/mainEntityOfPage,https://avk.wikipedia.org/wiki/Belga
http://schema.org/mainEntityOfPage,https://awa.wikipedia.org/wiki/%E0%A4%AC%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A4%AE
http://schema.org/mainEntityOfPage,https://ay.wikipedia.org/wiki/Bilkiya
http://schema.org/mainEntityOfPage,https://az.wikipedia.org/wiki/Bel%C3%A7ika
http://schema.org/mainEntityOfPage,https://azb.wikipedia.org/wiki/%D8%A8%D9%84%DA%98%DB%8C%DA%A9
http://schema.org/mainEntityOfPage,https://ba.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://ban.wikipedia.org/wiki/B%C3%A9lgia
http://schema.org/mainEntityOfPage,https://bar.wikipedia.org/wiki/Bejgien
http://schema.org/mainEntityOfPage,https://bat-smg.wikipedia.org/wiki/Belg%C4%97j%C4%97
http://schema.org/mainEntityOfPage,https://bcl.wikipedia.org/wiki/Belhika
http://schema.org/mainEntityOfPage,https://be-tarask.wikipedia.org/wiki/%D0%91%D1%8D%D0%BB%D1%8C%D0%B3%D1%96%D1%8F
http://schema.org/mainEntityOfPage,https://be.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D1%96%D1%8F
http://schema.org/mainEntityOfPage,https://bg.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://bh.wikipedia.org/wiki/%E0%A4%AC%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A4%AE
http://schema.org/mainEntityOfPage,https://bi.wikipedia.org/wiki/Beljiom
http://schema.org/mainEntityOfPage,https://bm.wikipedia.org/wiki/B%C9%9Bliziki
http://schema.org/mainEntityOfPage,https://bn.wikipedia.org/wiki/%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%9C%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%AE
http://schema.org/mainEntityOfPage,https://bo.wikipedia.org/wiki/%E0%BD%94%E0%BD%BA%E0%BD%A2%E0%BC%8B%E0%BD%85%E0%BD%B2%E0%BD%93%E0%BC%8D
http://schema.org/mainEntityOfPage,https://bpy.wikipedia.org/wiki/%E0%A6%AC%E0%A7%87%E0%A6%B2%E0%A6%9C%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%AE
http://schema.org/mainEntityOfPage,https://br.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://bs.wikinews.org/wiki/Kategorija:Belgija
http://schema.org/mainEntityOfPage,https://bs.wikipedia.org/wiki/Belgija
http://schema.org/mainEntityOfPage,https://bug.wikipedia.org/wiki/%E1%A8%85%E1%A8%99%E1%A8%92%E1%A8%81%E1%A8%97%E1%A8%95
http://schema.org/mainEntityOfPage,https://bxr.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8
http://schema.org/mainEntityOfPage,https://ca.wikinews.org/wiki/Categoria:B%C3%A8lgica
http://schema.org/mainEntityOfPage,https://ca.wikipedia.org/wiki/B%C3%A8lgica
http://schema.org/mainEntityOfPage,https://cbk-zam.wikipedia.org/wiki/B%C3%A9lgica
http://schema.org/mainEntityOfPage,https://cdo.wikipedia.org/wiki/B%C4%AB-l%C3%A9-s%C3%AC
http://schema.org/mainEntityOfPage,https://ce.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8
http://schema.org/mainEntityOfPage,https://ceb.wikipedia.org/wiki/Belhika
http://schema.org/mainEntityOfPage,https://ch.wikipedia.org/wiki/Belgika
http://schema.org/mainEntityOfPage,https://chr.wikipedia.org/wiki/%E1%8F%87%E1%8E%B5%E1%8F%A5%E1%8E%A5%E1%8E%BB
http://schema.org/mainEntityOfPage,https://ckb.wikipedia.org/wiki/%D8%A8%DB%95%D9%84%D8%AC%DB%8C%DA%A9%D8%A7
http://schema.org/mainEntityOfPage,https://co.wikipedia.org/wiki/Belghju
http://schema.org/mainEntityOfPage,https://commons.wikimedia.org/wiki/Belgi%C3%AB_-_Belgique_-_Belgien
http://schema.org/mainEntityOfPage,https://crh.wikipedia.org/wiki/Bel%C3%A7ika
http://schema.org/mainEntityOfPage,https://cs.wikinews.org/wiki/Kategorie:Belgie
http://schema.org/mainEntityOfPage,https://cs.wikipedia.org/wiki/Belgie
http://schema.org/mainEntityOfPage,https://csb.wikipedia.org/wiki/Belgijsk%C3%B4
http://schema.org/mainEntityOfPage,https://cu.wikipedia.org/wiki/%D0%91%D1%94%D0%BB%D0%B3%D1%97%D1%A5
http://schema.org/mainEntityOfPage,https://cv.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8
http://schema.org/mainEntityOfPage,https://cy.wikipedia.org/wiki/Gwlad_Belg
http://schema.org/mainEntityOfPage,https://da.wikipedia.org/wiki/Belgien
http://schema.org/mainEntityOfPage,https://de.wikinews.org/wiki/Kategorie:Belgien
http://schema.org/mainEntityOfPage,https://de.wikipedia.org/wiki/Belgien
http://schema.org/mainEntityOfPage,https://de.wikivoyage.org/wiki/Belgien
http://schema.org/mainEntityOfPage,https://diq.wikipedia.org/wiki/Bel%C3%A7%C4%B1ka
http://schema.org/mainEntityOfPage,https://dsb.wikipedia.org/wiki/Belgiska
http://schema.org/mainEntityOfPage,https://dty.wikipedia.org/wiki/%E0%A4%AC%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A4%AE
http://schema.org/mainEntityOfPage,https://dv.wikipedia.org/wiki/%DE%84%DE%AC%DE%8D%DE%B0%DE%96%DE%A8%DE%87%DE%A6%DE%89%DE%B0
http://schema.org/mainEntityOfPage,https://dz.wikipedia.org/wiki/%E0%BD%96%E0%BD%BA%E0%BD%A3%E0%BC%8B%E0%BD%87%E0%BD%B2%E0%BD%A1%E0%BD%98
http://schema.org/mainEntityOfPage,https://ee.wikipedia.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://el.wikinews.org/wiki/%CE%9A%CE%B1%CF%84%CE%B7%CE%B3%CE%BF%CF%81%CE%AF%CE%B1:%CE%92%CE%AD%CE%BB%CE%B3%CE%B9%CE%BF
http://schema.org/mainEntityOfPage,https://el.wikipedia.org/wiki/%CE%92%CE%AD%CE%BB%CE%B3%CE%B9%CE%BF
http://schema.org/mainEntityOfPage,https://el.wikivoyage.org/wiki/%CE%92%CE%AD%CE%BB%CE%B3%CE%B9%CE%BF
http://schema.org/mainEntityOfPage,https://eml.wikipedia.org/wiki/B%C3%A9lgi
http://schema.org/mainEntityOfPage,https://en.wikinews.org/wiki/Category:Belgium
http://schema.org/mainEntityOfPage,https://en.wikipedia.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://en.wikiquote.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://en.wikivoyage.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://eo.wikinews.org/wiki/Kategorio:Belgujo
http://schema.org/mainEntityOfPage,https://eo.wikipedia.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://eo.wikiquote.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://eo.wikivoyage.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://es.wikinews.org/wiki/Categor%C3%ADa:B%C3%A9lgica
http://schema.org/mainEntityOfPage,https://es.wikipedia.org/wiki/B%C3%A9lgica
http://schema.org/mainEntityOfPage,https://es.wikiquote.org/wiki/B%C3%A9lgica
http://schema.org/mainEntityOfPage,https://es.wikivoyage.org/wiki/B%C3%A9lgica
http://schema.org/mainEntityOfPage,https://et.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://et.wikiquote.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://eu.wikipedia.org/wiki/Belgika
http://schema.org/mainEntityOfPage,https://ext.wikipedia.org/wiki/B%C3%A9lgica
http://schema.org/mainEntityOfPage,https://fa.wikinews.org/wiki/%D8%B1%D8%AF%D9%87:%D8%A8%D9%84%DA%98%DB%8C%DA%A9
http://schema.org/mainEntityOfPage,https://fa.wikipedia.org/wiki/%D8%A8%D9%84%DA%98%DB%8C%DA%A9
http://schema.org/mainEntityOfPage,https://fa.wikiquote.org/wiki/%D8%A8%D9%84%DA%98%DB%8C%DA%A9
http://schema.org/mainEntityOfPage,https://fa.wikivoyage.org/wiki/%D8%A8%D9%84%DA%98%DB%8C%DA%A9
http://schema.org/mainEntityOfPage,https://ff.wikipedia.org/wiki/Beljik
http://schema.org/mainEntityOfPage,https://fi.wikinews.org/wiki/Luokka:Belgia
http://schema.org/mainEntityOfPage,https://fi.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://fi.wikivoyage.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://fiu-vro.wikipedia.org/wiki/Belgi%C3%A4
http://schema.org/mainEntityOfPage,https://fo.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://fr.wikinews.org/wiki/Cat%C3%A9gorie:Belgique
http://schema.org/mainEntityOfPage,https://fr.wikipedia.org/wiki/Belgique
http://schema.org/mainEntityOfPage,https://fr.wikiquote.org/wiki/Belgique
http://schema.org/mainEntityOfPage,https://fr.wikivoyage.org/wiki/Belgique
http://schema.org/mainEntityOfPage,https://frp.wikipedia.org/wiki/B%C3%A8lgica
http://schema.org/mainEntityOfPage,https://frr.wikipedia.org/wiki/Belgien/fe
http://schema.org/mainEntityOfPage,https://fur.wikipedia.org/wiki/Belgjo
http://schema.org/mainEntityOfPage,https://fy.wikipedia.org/wiki/Belgje
http://schema.org/mainEntityOfPage,https://ga.wikipedia.org/wiki/An_Bheilg
http://schema.org/mainEntityOfPage,https://gag.wikipedia.org/wiki/Belgiya
http://schema.org/mainEntityOfPage,https://gcr.wikipedia.org/wiki/B%C3%A8ljik
http://schema.org/mainEntityOfPage,https://gd.wikipedia.org/wiki/A%27_Bheilg
http://schema.org/mainEntityOfPage,https://gl.wikipedia.org/wiki/B%C3%A9lxica
http://schema.org/mainEntityOfPage,https://gn.wikipedia.org/wiki/V%C3%A9yhika
http://schema.org/mainEntityOfPage,https://gom.wikipedia.org/wiki/%E0%A4%AC%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A4%AE
http://schema.org/mainEntityOfPage,https://got.wikipedia.org/wiki/%F0%90%8C%B1%F0%90%8C%B0%F0%90%8C%B9%F0%90%8C%BB%F0%90%8C%B2%F0%90%8C%B0%F0%90%8C%BB%F0%90%8C%B0%F0%90%8C%BD%F0%90%8C%B3
http://schema.org/mainEntityOfPage,https://gu.wikipedia.org/wiki/%E0%AA%AC%E0%AB%87%E0%AA%B2%E0%AB%8D%E0%AA%9C%E0%AA%BF%E0%AA%AF%E0%AA%AE
http://schema.org/mainEntityOfPage,https://gv.wikipedia.org/wiki/Yn_Velg
http://schema.org/mainEntityOfPage,https://ha.wikipedia.org/wiki/Beljik
http://schema.org/mainEntityOfPage,https://hak.wikipedia.org/wiki/P%C3%AD-li-s%E1%B9%B3%CC%80
http://schema.org/mainEntityOfPage,https://haw.wikipedia.org/wiki/Pelekiuma
http://schema.org/mainEntityOfPage,https://he.wikinews.org/wiki/%D7%A7%D7%98%D7%92%D7%95%D7%A8%D7%99%D7%94:%D7%91%D7%9C%D7%92%D7%99%D7%94
http://schema.org/mainEntityOfPage,https://he.wikipedia.org/wiki/%D7%91%D7%9C%D7%92%D7%99%D7%94
http://schema.org/mainEntityOfPage,https://he.wikiquote.org/wiki/%D7%91%D7%9C%D7%92%D7%99%D7%94
http://schema.org/mainEntityOfPage,https://he.wikivoyage.org/wiki/%D7%91%D7%9C%D7%92%D7%99%D7%94
http://schema.org/mainEntityOfPage,https://hi.wikipedia.org/wiki/%E0%A4%AC%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A4%AE
http://schema.org/mainEntityOfPage,https://hif.wikipedia.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://hr.wikipedia.org/wiki/Belgija
http://schema.org/mainEntityOfPage,https://hsb.wikipedia.org/wiki/Belgiska
http://schema.org/mainEntityOfPage,https://ht.wikipedia.org/wiki/B%C3%A8ljik
http://schema.org/mainEntityOfPage,https://hu.wikinews.org/wiki/Kateg%C3%B3ria:Belgium
http://schema.org/mainEntityOfPage,https://hu.wikipedia.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://hy.wikipedia.org/wiki/%D4%B2%D5%A5%D5%AC%D5%A3%D5%AB%D5%A1
http://schema.org/mainEntityOfPage,https://hy.wikiquote.org/wiki/%D4%B2%D5%A5%D5%AC%D5%A3%D5%AB%D5%A1
http://schema.org/mainEntityOfPage,https://hyw.wikipedia.org/wiki/%D5%8A%D5%A5%D5%AC%D5%B3%D5%AB%D6%84%D5%A1
http://schema.org/mainEntityOfPage,https://ia.wikipedia.org/wiki/Belgica
http://schema.org/mainEntityOfPage,https://id.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://ie.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://ig.wikipedia.org/wiki/Belgium
http://schema.org/mainEntityOfPage,https://ilo.wikipedia.org/wiki/Belhika
http://schema.org/mainEntityOfPage,https://inh.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8
http://schema.org/mainEntityOfPage,https://io.wikipedia.org/wiki/Belgia
http://schema.org/mainEntityOfPage,https://is.wikipedia.org/wiki/Belg%C3%ADa
http://schema.org/mainEntityOfPage,https://it.wikinews.org/wiki/Categoria:Belgio
http://schema.org/mainEntityOfPage,https://it.wikipedia.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://it.wikiquote.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://it.wikivoyage.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://ja.wikinews.org/wiki/%E3%82%AB%E3%83%86%E3%82%B4%E3%83%AA:%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC
http://schema.org/mainEntityOfPage,https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC
http://schema.org/mainEntityOfPage,https://ja.wikivoyage.org/wiki/%E3%83%99%E3%83%AB%E3%82%AE%E3%83%BC
http://schema.org/mainEntityOfPage,https://jam.wikipedia.org/wiki/Beljiom
http://schema.org/mainEntityOfPage,https://jbo.wikipedia.org/wiki/beldjym
http://schema.org/mainEntityOfPage,https://jv.wikipedia.org/wiki/B%C3%A8lgi
http://schema.org/mainEntityOfPage,https://ka.wikipedia.org/wiki/%E1%83%91%E1%83%94%E1%83%9A%E1%83%92%E1%83%98%E1%83%90
http://schema.org/mainEntityOfPage,https://kaa.wikipedia.org/wiki/Belgiya
http://schema.org/mainEntityOfPage,https://kab.wikipedia.org/wiki/Biljik
http://schema.org/mainEntityOfPage,https://kbd.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%B8%D1%8D
http://schema.org/mainEntityOfPage,https://kbp.wikipedia.org/wiki/P%C9%9Bliziki
http://schema.org/mainEntityOfPage,https://kg.wikipedia.org/wiki/Belezi
http://schema.org/mainEntityOfPage,https://kk.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://km.wikipedia.org/wiki/%E1%9E%94%E1%9F%82%E1%9E%9B%E1%9E%A0%E1%9F%92%E1%9E%9F%E1%9F%8A%E1%9E%B7%E1%9E%80
http://schema.org/mainEntityOfPage,https://kn.wikipedia.org/wiki/%E0%B2%AC%E0%B3%86%E0%B2%B2%E0%B3%8D%E0%B2%9C%E0%B2%BF%E0%B2%AF%E0%B2%82
http://schema.org/mainEntityOfPage,https://ko.wikinews.org/wiki/%EB%B6%84%EB%A5%98:%EB%B2%A8%EA%B8%B0%EC%97%90
http://schema.org/mainEntityOfPage,https://ko.wikipedia.org/wiki/%EB%B2%A8%EA%B8%B0%EC%97%90
http://schema.org/mainEntityOfPage,https://koi.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://krc.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://ksh.wikipedia.org/wiki/Beljie
http://schema.org/mainEntityOfPage,https://ku.wikipedia.org/wiki/Bel%C3%A7%C3%AEka
http://schema.org/mainEntityOfPage,https://kv.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://kw.wikipedia.org/wiki/Pow_Belg
http://schema.org/mainEntityOfPage,https://ky.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://la.wikipedia.org/wiki/Belgica
http://schema.org/mainEntityOfPage,https://lad.wikipedia.org/wiki/Beljika
http://schema.org/mainEntityOfPage,https://lb.wikipedia.org/wiki/Belsch
http://schema.org/mainEntityOfPage,https://lez.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%8C%D0%B3%D0%B8%D1%8F
http://schema.org/mainEntityOfPage,https://lfn.wikipedia.org/wiki/Beljia
http://schema.org/mainEntityOfPage,https://lg.wikipedia.org/wiki/Bubirigi
http://schema.org/mainEntityOfPage,https://li.wikibooks.org/wiki/Belsj
http://schema.org/mainEntityOfPage,https://li.wikipedia.org/wiki/Belsj
http://schema.org/mainEntityOfPage,https://lij.wikipedia.org/wiki/Belgio
http://schema.org/mainEntityOfPage,https://lld.wikipedia.org/wiki/Belje
http://schema.org/mainEntityOfPage,https://lmo.wikipedia.org/wiki/Belgi
http://schema.org/mainEntityOfPage,https://ln.wikipedia.org/wiki/B%C9%9B%CC%81ljika
http://schema.org/mainEntityOfPage,https://lo.wikipedia.org/wiki/%E0%BA%9B%E0%BA%B0%E0%BB%80%E0%BA%97%E0%BA%94%E0%BB%81%E0%BA%9A%E0%BA%99%E0%BA%8A%E0%BA%B4%E0%BA%81
